X,Y,bAddress,Address,Title
-123.065168,49.248832,Cedar Cottage Neighbourhood House,Cedar Cottage Neighbourhood House,Collective Echoes
-123.108576,49.257301,Simon Fraser Elementary School,Simon Fraser Elementary School,Mainly for the Birds
-123.142831,49.313328,Stanley Park,Stanley Park,S.S. Beaver Tablet and Cairn
-123.09901,49.266551,Native Education Centre,Native Education Centre,Wilp
-123.088473,49.26368,community garden,community garden,Community Fence
-123.066918,49.271405,Victoria Park,Victoria Park,Children's Animal Pathway
-123.143707,49.275545,Vanier Park,Vanier Park,Nicholas Copernicus Plaque
-123.147461,49.277073,Vancouver Museum and Planetarium,Vancouver Museum and Planetarium,Welcome Figures (Vancouver Museum and Planetarium)
-123.107627,49.225138,Langara College,Langara College,Totem Pole (Langara College)
-123.127743,49.288328,The Lions,The Lions,Milky Way
-123.112972,49.28167,B.C. Hydro,B.C. Hydro,Water Work
-123.117586,49.286128,,,The Pod
-123.146003,49.290439,Stanley Park,Stanley Park,David Oppenheimer
-123.142386,49.285563,Alexandra Park,Alexandra Park,Joe Fortes Drinking Fountain
-123.115891,49.273422,Coopers Mews,Coopers Mews,Coopers Mews
-123.097921,49.282044,Firehall Art Centre,Firehall Art Centre,Offerings: A Garden Installation
-123.112471,49.24213,Queen Elizabeth Park,Queen Elizabeth Park,Photo Session
-123.112093,49.281487,Or Art Gallery,Or Art Gallery,Unlimited Growth Increases The Divide
-123.139622,49.238059,Ridgeway Greenway,Ridgeway Greenway,Machina Metronoma (Shaughnessy Neighbourhood)
-123.081968,49.279173,Keefer St. Overpass,Keefer St. Overpass,Guardian Dragon
-123.145862,49.272017,Seaforth Park,Seaforth Park,Flame of Peace
-123.132934,49.238962,VanDusen Botanical Garden,VanDusen Botanical Garden,For the Botanical Garden
-123.132214,49.23917,VanDusen Botanical Garden,VanDusen Botanical Garden,Landscape 75
-123.122005,49.281413,Robson Square,Robson Square,Joy of Freedom
-123.123505,49.286143,BC Gas Building,BC Gas Building,Spirits in a Landscape
-123.074627,49.265898,Grandview/Uuqinak'uuk Elementary School,Grandview/Uuqinak'uuk Elementary School,Grandview-Terrace Welcoming Poles
-123.04078,49.28078,Hastings Community Park,Hastings Community Park,Colour
-123.121462,49.279148,The Spot,The Spot,Ten Thousand Faucets & Doorknobs
-123.128435,49.238041,VanDusen Botanical Garden,VanDusen Botanical Garden,Swedish Fountain
-123.129869,49.238501,VanDusen Botanical Garden,VanDusen Botanical Garden,Birds in Flight
-123.12981,49.238508,VanDusen Botanical Garden,VanDusen Botanical Garden,Jade
-123.130724,49.238871,VanDusen Botanical Garden,VanDusen Botanical Garden,Sundial
-123.129643,49.239117,VanDusen Botanical Garden,VanDusen Botanical Garden,Drinking Fountain
-123.250477,49.268544,Student Union Building,Student Union Building,Thunderbird
-123.250649,49.261347,Metallurgy Bldg.,Metallurgy Bldg.,Untitled (Metallurgy Building)
-123.119282,49.284079,HSBC Building,HSBC Building,Broken Column, (Pendulum)
-123.115347,49.266071,Cambie Street Plaza,Cambie Street Plaza,Centennial Rocket
-123.132556,49.238647,VanDusen Botanical Garden,VanDusen Botanical Garden,Observing Your Society
-123.06556,49.235938,Ridgeway Greenway,Ridgeway Greenway,Aluminum Petroglyphs
-123.132059,49.275212,Mae and Lorne Brown Park (or SEGS Park),Mae and Lorne Brown Park (or SEGS Park),GRANtable
-123.057708,49.286618,traffic circles,traffic circles,Traffic Circles
-123.113395,49.287974,Trade and Convention Centre,Trade and Convention Centre,Sisaxo'las Pole
-123.115651,49.284826,Pender Place,Pender Place,Canada Geese in Flight
-123.136105,49.298277,,,Harding Memorial Sculpture
-123.144503,49.276076,Vanier Park,Vanier Park,The Crab
-123.077085,49.236852,Ridgeway Greenway,Ridgeway Greenway,Three Herons
-123.135019,49.276558,Vancouver Aquatic Centre,Vancouver Aquatic Centre,Living Wall
-123.057441,49.288612,McGill Park,McGill Park,McGill Park
-123.130626,49.257971,L'Ecole Bilingue,L'Ecole Bilingue,Peopling the Playground
-123.082243,49.236477,Ridgeway Greenway,Ridgeway Greenway,Converging Lines
-123.130378,49.290946,Bayshore,Bayshore,Vancouver Overture, Opus One
-123.100666,49.249438,Mid-Main Community Health Centre,Mid-Main Community Health Centre,Mid-Main Mural Project
-123.044155,49.252022,Renfrew Community Centre,Renfrew Community Centre,Sculpture Poems
-123.097036,49.247555,John Street pedestrian throughway,John Street pedestrian throughway,Dry Stream
-123.087206,49.257805,Prince Albert Greenway,Prince Albert Greenway,Leaf Bench I & II
-123.096203,49.263812,Guelph Park,Guelph Park,Reclining Figure
